zaretzki_index,atomic_index,zaretzki_atomic_index,bde,som_level
189,2,189002,70.82,3
200,15,200015,73.4,2
33,8,33008,75.89,3
212,7,212007,75.88,3
33,1,33001,76.45,3
20,1,20001,79.73,3
112,13,112013,79.07,3
245,15,245015,79.44,3
280,6,280006,78.31,2
18,13,18013,80.78,3
167,35,167035,80.75,3
292,7,292007,80.04,3
107,20,107020,82.62,3
271,17,271017,83.08,3
447,1,447001,82.02,3
267,24,267024,85.36,3
167,7,167007,85.0,1
73,31,73031,86.74,3
200,12,200012,87.12,3
43,10,43010,88.94,3
292,1,292001,89.85,1
91,21,91021,91.13,3
109,18,109018,90.78,3
123,21,123021,90.35,3
142,8,142008,90.8,3
159,7,159007,91.05,3
178,20,178020,90.29,3
178,21,178021,90.15,3
182,1,182001,90.21,3
182,3,182003,90.13,3
219,1,219001,90.11,3
219,3,219003,90.11,3
235,17,235017,91.2,3
240,23,240023,91.3,3
159,1,159001,91.47,2
159,5,159005,90.54,2
292,17,292017,91.21,1
39,24,39024,93.66,3
61,27,61027,92.32,3
85,22,85022,92.67,3
85,23,85023,92.9,3
89,22,89022,93.0,3
116,15,116015,92.45,3
116,16,116016,92.66,3
130,48,130048,92.8,3
130,49,130049,92.81,3
158,19,158019,92.98,3
158,23,158023,92.74,3
280,27,280027,93.2,3
280,28,280028,92.42,3
314,22,314022,92.57,3
112,10,112010,93.82,2
287,13,287013,93.19,2
290,21,290021,93.2,2
