zaretzki_index,atomic_index,zaretzki_atomic_index,sasa_hydrogen_maestro,som_level
33,1,33001,19.963031771451,3
178,20,178020,19.684048457094203,3
178,21,178021,19.665025057111432,3
314,22,314022,18.5081495832034,3
292,15,292015,18.00684468389795,2
16,39,16039,21.8171736985859,3
16,40,16040,21.91297723380117,3
18,13,18013,20.04436145863325,3
63,2,63002,21.369528848839,3
107,20,107020,20.5622333605404,3
118,56,118056,21.069586772422834,3
130,48,130048,21.237440566551037,3
130,49,130049,21.305039437584764,3
267,24,267024,21.138513731105448,3
292,7,292007,20.780085360612347,3
309,13,309013,21.988201257444768,3
287,13,287013,21.17429908048373,2
39,23,39023,23.011906401529533,3
39,24,39024,23.838733467130467,3
189,2,189002,22.42745253603,3
290,32,290032,22.887742323399166,3
290,33,290033,22.08465463796317,3
290,34,290034,23.05696334816987,3
167,7,167007,23.888527326899748,1
85,22,85022,24.85270330943007,3
85,23,85023,24.862641441168662,3
91,21,91021,25.30545965389913,3
116,15,116015,24.6710740200682,3
116,16,116016,24.786567528304065,3
137,29,137029,24.775213476064334,3
137,30,137030,24.695842727646934,3
200,12,200012,25.53614681456213,3
280,27,280027,25.7354503321697,3
280,28,280028,25.719676102005167,3
292,1,292001,24.2709247239481,1
33,8,33008,26.2822257362579,3
61,27,61027,27.09885768038033,3
89,22,89022,27.35629496875237,3
109,18,109018,26.694803472528964,3
112,13,112013,26.98511505013785,3
219,1,219001,27.2888664572012,3
219,3,219003,27.269097651921697,3
271,17,271017,26.8651182423486,3
92,10,92010,26.229176277985506,2
112,10,112010,26.545859461059,2
200,15,200015,26.699685362332453,2
292,16,292016,26.4031508545443,1
182,1,182001,28.10124471620044,3
182,3,182003,28.103308299085835,3
187,24,187024,28.4764293378141,3
285,30,285030,28.21521389402013,3
285,32,285032,28.002888910115768,3
163,29,163029,30.2701454967078,3
92,8,92008,32.269204697576264,3
